

0, 0.12303792260300439, 43.72059516715473, 0.1, 'EMB'
0, 0.3831978252856577, 30.750426813152398, 0.1, 'AL'
0, 0.4561450882134386, 27.11367006708648, 10.0, 'EMB+AL+WC'
0, 0.4541133706059567, 27.214960539388724, 10.0, 'WC'


1, 0.39284525029173645, 30.26945828102588, 1.0, 'EMB'
1, 0.4134822755898998, 29.240607602335835, 1.0, 'AL'
1, 0.47120984204484184, 26.36262276352393, 1.0, 'EMB+AL+WC'
1, 0.46891719747837957, 26.476921645466465, 1.0, 'WC'


2, 0.41203747255857814, 29.31263768214976, 1.0, 'EMB'
2, 0.4297255498147894, 28.430805633836357, 1.0, 'AL'
2, 0.4786139595986878, 25.9934934311558, 1.0, 'EMB+AL+WC'
2, 0.4764035793074014, 26.103691060416615, 1.0, 'WC'


3, 0.4226304484974154, 28.78452908478375, 1.0, 'EMB'
3, 0.44227425835807466, 27.80519476623755, 1.0, 'AL'
3, 0.4846801249816248, 25.691067171503146, 1.0, 'EMB+AL+WC'
3, 0.4829718143382622, 25.77623431838809, 1.0, 'WC'


4, 0.4505341688517501, 27.393400217626255, 1.0, 'EMB'
4, 0.467926028952112, 26.52633595766568, 1.0, 'AL'
4, 0.4999070669742379, 24.93193404174591, 1.0, 'EMB+AL+WC'
4, 0.4989435713382897, 24.97996873301745, 1.0, 'WC'


5, 0.48550640925023636, 25.649873098313364, 1.0, 'EMB'
5, 0.5033786852204374, 24.75885789646091, 1.0, 'AL'
5, 0.5260894423427104, 23.626622143428484, 1.0, 'EMB+AL+WC'
5, 0.5257674164074081, 23.64267661820402, 1.0, 'WC'


6, 0.5134871909148456, 24.254902370217522, 1.0, 'EMB'
6, 0.5299870620851088, 23.432307863181936, 1.0, 'AL'
6, 0.5453128540133114, 22.66824660924739, 1.0, 'EMB+AL+WC'
6, 0.5452770893104429, 22.67002964426759, 1.0, 'WC'


7, 0.5275290264632555, 23.554852250333177, 1.0, 'EMB'
7, 0.5453758712434478, 22.665104910332058, 1.0, 'AL'
7, 0.5594017934280267, 21.965848144864893, 1.0, 'EMB+AL+WC'
7, 0.5593901775259331, 21.966427251038375, 1.0, 'WC'


8, 0.5365346582823598, 23.105880061984763, 1.0, 'EMB'
8, 0.5507344731921685, 22.397953943944387, 1.0, 'AL'
8, 0.5643250194679607, 21.720402671045495, 1.0, 'EMB+AL+WC'
8, 0.5643667436976361, 21.71832252618939, 1.0, 'WC'


9, 0.5194231317748867, 23.95896840229915, 1.0, 'EMB'
9, 0.5300133707466228, 23.43099625533812, 1.0, 'AL'
9, 0.5443887037854765, 22.714319750864565, 1.0, 'EMB+AL+WC'
9, 0.5442833939781877, 22.71956992937317, 1.0, 'WC'


10, 0.47688814229030685, 26.07953336585418, 1.0, 'EMB'
10, 0.48274811849175425, 25.787386585741288, 1.0, 'AL'
10, 0.5088843278744766, 24.484376274260395, 1.0, 'EMB+AL+WC'
10, 0.5083464838552616, 24.51119027367183, 1.0, 'WC'


11, 0.4340849221838815, 28.213470860253352, 0.1, 'EMB'
11, 0.44060621779483655, 27.888354264313207, 0.1, 'AL'
11, 0.4843090296650959, 25.70956798074058, 0.1, 'EMB+AL+WC'
11, 0.4824726770557921, 25.801118608851922, 0.1, 'WC'


0, 0.5421155360877221, 22.827647621273243, 10.0, 'EMB+BOW'
1, 0.5491748577667179, 22.475707949949946, 10.0, 'EMB+BOW'
2, 0.5499590951608384, 22.436610106945086, 10.0, 'EMB+BOW'
3, 0.5501693235654311, 22.426129253545906, 10.0, 'EMB+BOW'
4, 0.5500725245752006, 22.430955128659026, 10.0, 'EMB+BOW'
5, 0.5512576225253043, 22.371872542256085, 10.0, 'EMB+BOW'
6, 0.5538509303322847, 22.24258421417997, 10.0, 'EMB+BOW'
7, 0.55637367041407, 22.116814011943784, 10.0, 'EMB+BOW'
8, 0.5584700065903305, 22.012302006625845, 10.0, 'EMB+BOW'
9, 0.5537675557036457, 22.24674082309146, 10.0, 'EMB+BOW'
10, 0.5524289549659979, 22.31347622984344, 10.0, 'EMB+BOW'
11, 0.5503089967319778, 22.419165903444814, 10.0, 'EMB+BOW'
