('wav2vec_small', 'spokencoco_val', 6) {'mse': {'mean': 0.013944701122680248, 'std': 0.005396817404259322, 'alpha': 10}, 'r2': {'mean': -0.257323171947915, 'std': 0.1974085752942854, 'alpha': 0.001}, 'pearson_r': {'mean': -0.03351995497596221, 'std': 0.03199781062513325, 'alpha': 0.01}}
('wav2vec_small', 'spokencoco_val', 7) {'mse': {'mean': 0.013891624719233686, 'std': 0.005404834696831716, 'alpha': 10}, 'r2': {'mean': -0.2507691484455449, 'std': 0.19201226581772718, 'alpha': 0.001}, 'pearson_r': {'mean': -0.024951976643926337, 'std': 0.02537325170642786, 'alpha': 10}}
('wav2vec_small', 'spokencoco_val', 8) {'mse': {'mean': 0.01389180176754965, 'std': 0.0053583313996803175, 'alpha': 10}, 'r2': {'mean': -0.25325029167808505, 'std': 0.19775515166863486, 'alpha': 0.001}, 'pearson_r': {'mean': -0.01308553977543048, 'std': 0.023703710133384733, 'alpha': 0.001}}
('wav2vec_small', 'spokencoco_val', 9) {'mse': {'mean': 0.0139465724198025, 'std': 0.0053144833103264885, 'alpha': 10}, 'r2': {'mean': -0.2615042750602497, 'std': 0.2066569644758491, 'alpha': 0.001}, 'pearson_r': {'mean': -0.005225278733382522, 'std': 0.019595238480099076, 'alpha': 10}}
('wav2vec_small', 'spokencoco_val', 10) {'mse': {'mean': 0.01388876482365512, 'std': 0.005225109225905139, 'alpha': 0.001}, 'r2': {'mean': -0.25783186202348957, 'std': 0.20615625511681454, 'alpha': 0.001}, 'pearson_r': {'mean': 0.006501092734427068, 'std': 0.013468857351071827, 'alpha': 0.01}}
('wav2vec_small', 'spokencoco_val', 11) {'mse': {'mean': 0.013892132042364285, 'std': 0.005259527271216934, 'alpha': 10}, 'r2': {'mean': -0.2574476270295993, 'std': 0.2064772386040073, 'alpha': 0.001}, 'pearson_r': {'mean': 0.012579068437596314, 'std': 0.012751724773592496, 'alpha': 10}}
('wav2vec_large_en', 'spokencoco_val', 0) {'mse': {'mean': 0.014072323062478399, 'std': 0.0051531849899557, 'alpha': 10}, 'r2': {'mean': -0.28184310142192887, 'std': 0.22801473871877745, 'alpha': 10}, 'pearson_r': {'mean': 0.006887918675600182, 'std': 0.015161975622968143, 'alpha': 0.01}}
('wav2vec_large_en', 'spokencoco_val', 1) {'mse': {'mean': 0.014088359610123998, 'std': 0.005109885594940057, 'alpha': 10}, 'r2': {'mean': -0.2870754842019875, 'std': 0.23939396412828678, 'alpha': 10}, 'pearson_r': {'mean': 0.003920801476902062, 'std': 0.013187137583181449, 'alpha': 0.001}}
('wav2vec_large_en', 'spokencoco_val', 2) {'mse': {'mean': 0.014076855754981507, 'std': 0.005090535170062746, 'alpha': 10}, 'r2': {'mean': -0.28747626979562846, 'std': 0.2434503466516725, 'alpha': 10}, 'pearson_r': {'mean': 0.005425268217241474, 'std': 0.021415793887749675, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 3) {'mse': {'mean': 0.01396428654161111, 'std': 0.005197306338943011, 'alpha': 10}, 'r2': {'mean': -0.26783732522443504, 'std': 0.21546539959570898, 'alpha': 10}, 'pearson_r': {'mean': -0.01645253776565747, 'std': 0.025002775199758374, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 4) {'mse': {'mean': 0.013951347476507597, 'std': 0.005225469117233694, 'alpha': 10}, 'r2': {'mean': -0.26476549415206974, 'std': 0.2103777413820248, 'alpha': 10}, 'pearson_r': {'mean': -0.01638391017959794, 'std': 0.03329539030860331, 'alpha': 1}}
